Name	Kingdom	Phylum	Class	Order	Family	Genus	Species	238_VT1303	349_VT1303	367_VT1303	412_VT1303	497_VT1303	524_VT1303	545_VT1303	687_VT1303	716_VT1303	743_VT1303	830_VT1303	862_VT1303	MN0871_VT1303	MN1246_VT1303	MN1286_VT1303	MN1367_VT1303	MN1544_VT1303	MN1595_VT1303	MN1676_VT1303	MN1794_VT1303	MN1933_VT1303	MN2077_VT1303	MN2132_VT1303	MN2239_VT1303	MN2279_VT1303	MN2308_VT1303	MN2336_VT1303	MN2356_VT1303	MN2504_VT1303	MN2544_VT1303	MN2572_VT1303	MN2598_VT1303	MN2619_VT1303	MN2695_VT1303	MN2735_VT1303	MN2777_VT1303	MN2806_VT1303	MN2892_VT1303	MN2932_VT1303	MN2992_VT1303	MN3054_VT1303	MN3109_VT1303	MN3207_VT1303	MN3287_VT1303	MN3430_VT1303	MN3505_VT1303	MN3664_VT1303	MN3713_VT1303	MN3836_VT1303	MN3876_VT1303	Taxonomy Id	Taxonomy Lineage
Acidaminococcus_u_s	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus_u_s	0	0	0	0	0	0	0	0	0	0	0	0	0.00688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	904	k__Bacteria(2);p__Firmicutes(1239);c__Negativicutes(909932);o__Acidaminococcales(1843488);f__Acidaminococcaceae(909930);g__Acidaminococcus(904);s__Acidaminococcus_u_s(904);
Acidovorax_u_s	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax_u_s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00021	0	0	0	0	0	0	0	0	0	0	0	0	12916	k__Bacteria(2);p__Proteobacteria(1224);c__Betaproteobacteria(28216);o__Burkholderiales(80840);f__Comamonadaceae(80864);g__Acidovorax(12916);s__Acidovorax_u_s(12916);
Acidovorax citrulli	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax citrulli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012	0	0	0	0	0	0	0	0	0	0	0	0	80869	k__Bacteria(2);p__Proteobacteria(1224);c__Betaproteobacteria(28216);o__Burkholderiales(80840);f__Comamonadaceae(80864);g__Acidovorax(12916);s__Acidovorax citrulli(80869);
Acinetobacter sp. 479375	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. 479375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1310601	k__Bacteria(2);p__Proteobacteria(1224);c__Gammaproteobacteria(1236);o__Pseudomonadales(72274);f__Moraxellaceae(468);g__Acinetobacter(469);s__Acinetobacter sp. 479375(1310601);
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	0	0	0	0	0.01425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	k__Bacteria(2);p__Proteobacteria(1224);c__Gammaproteobacteria(1236);o__Pseudomonadales(72274);f__Moraxellaceae(468);g__Acinetobacter(469);s__Acinetobacter baumannii(470);
Acinetobacter ursingii	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter ursingii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108980	k__Bacteria(2);p__Proteobacteria(1224);c__Gammaproteobacteria(1236);o__Pseudomonadales(72274);f__Moraxellaceae(468);g__Acinetobacter(469);s__Acinetobacter ursingii(108980);
Actinomyces graevenitzii	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15141	0	0.0096	0	0.01031	0	0	0	0	0	0.00038	0	0	0.00069	0	0	0	55565	k__Bacteria(2);p__Actinobacteria(201174);c__Actinobacteria(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces graevenitzii(55565);
Actinomyces odontolyticus	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces odontolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01468	0	0.00076	0	0	0	0	0	0	0	0	0	0	0	0	1660	k__Bacteria(2);p__Actinobacteria(201174);c__Actinobacteria(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces odontolyticus(1660);
Actinomyces sp. HPA0247	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp. HPA0247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19131	0	0	0	0	0	0	0	0	0	0.03017	0	0	0	0	1203556	k__Bacteria(2);p__Actinobacteria(201174);c__Actinobacteria(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces sp. HPA0247(1203556);
Actinomyces sp. ICM47	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp. ICM47	0	0	0	0	0	0	0	0	0	0	0	0.00669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0055	0	0	0	0	0	0	0	0	0.00148	0	0	0	936548	k__Bacteria(2);p__Actinobacteria(201174);c__Actinobacteria(1760);o__Actinomycetales(2037);f__Actinomycetaceae(2049);g__Actinomyces(1654);s__Actinomyces sp. ICM47(936548);
