Infant ID,Week,SRR,SampleID,File1,File2
IM178,1,SRR5079290,IM178_w1,SRR5079290_1.fastq.gz,SRR5079290_2.fastq.gz
IM178,8,SRR5079257,IM178_w8,SRR5079257_1.fastq.gz,SRR5079257_2.fastq.gz
IM178,24,SRR5079120,IM178_w24,SRR5079120_1.fastq.gz,SRR5079120_2.fastq.gz
IM207,1,SRR5079168,IM207_w1,SRR5079168_1.fastq.gz,SRR5079168_2.fastq.gz
IM207,8,SRR5079236,IM207_w8,SRR5079236_1.fastq.gz,SRR5079236_2.fastq.gz
IM207,24,SRR5079083,IM207_w24,SRR5079083_1.fastq.gz,SRR5079083_2.fastq.gz
IM182,1,SRR5079166,IM182_w1,SRR5079166_1.fastq.gz,SRR5079166_2.fastq.gz
IM182,8,SRR5079288,IM182_w8,SRR5079288_1.fastq.gz,SRR5079288_2.fastq.gz
IM182,24,SRR5079286,IM182_w24,SRR5079286_1.fastq.gz,SRR5079286_2.fastq.gz
IM218,1,SRR5079287,IM218_w1,SRR5079287_1.fastq.gz,SRR5079287_2.fastq.gz
IM218,8,SRR5079085,IM218_w8,SRR5079085_1.fastq.gz,SRR5079085_2.fastq.gz
IM218,24,SRR5079223,IM218_w24,SRR5079223_1.fastq.gz,SRR5079223_2.fastq.gz
IM193,1,SRR5079275,IM193_w1,SRR5079275_1.fastq.gz,SRR5079275_2.fastq.gz
IM193,8,SRR5079161,IM193_w8,SRR5079161_1.fastq.gz,SRR5079161_2.fastq.gz
IM193,24,SRR5079238,IM193_w24,SRR5079238_1.fastq.gz,SRR5079238_2.fastq.gz
IM216,1,SRR5079098,IM216_w1,SRR5079098_1.fastq.gz,SRR5079098_2.fastq.gz
IM216,8,SRR5079201,IM216_w8,SRR5079201_1.fastq.gz,SRR5079201_2.fastq.gz
IM216,24,SRR5079284,IM216_w24,SRR5079284_1.fastq.gz,SRR5079284_2.fastq.gz
IM185,1,SRR5079077,IM185_w1,SRR5079077_1.fastq.gz,SRR5079077_2.fastq.gz
IM185,8,SRR5079095,IM185_w8,SRR5079095_1.fastq.gz,SRR5079095_2.fastq.gz
IM185,24,SRR5079128,IM185_w24,SRR5079128_1.fastq.gz,SRR5079128_2.fastq.gz
IM194,1,SRR5079169,IM194_w1,SRR5079169_1.fastq.gz,SRR5079169_2.fastq.gz
IM194,8,SRR5079220,IM194_w8,SRR5079220_1.fastq.gz,SRR5079220_2.fastq.gz
IM194,24,SRR5079162,IM194_w24,SRR5079162_1.fastq.gz,SRR5079162_2.fastq.gz
IM204,1,SRR5079174,IM204_w1,SRR5079174_1.fastq.gz,SRR5079174_2.fastq.gz
IM204,8,SRR5079152,IM204_w8,SRR5079152_1.fastq.gz,SRR5079152_2.fastq.gz
IM204,24,SRR5079274,IM204_w24,SRR5079274_1.fastq.gz,SRR5079274_2.fastq.gz
IM169,1,SRR5079219,IM169_w1,SRR5079219_1.fastq.gz,SRR5079219_2.fastq.gz
IM169,8,SRR5079218,IM169_w8,SRR5079218_1.fastq.gz,SRR5079218_2.fastq.gz
IM169,24,SRR5079273,IM169_w24,SRR5079273_1.fastq.gz,SRR5079273_2.fastq.gz
