Genus,p_value,slope
Neisseria flavescens,0.028089296595281334,5.488821716453288e-4
Propionibacteriaceae_u_s,0.04672449486741447,-0.023669941915599804
Stenotrophomonas maltophilia,0.06818144540301235,6.331910858226643e-4
Neisseria mucosa,0.07146548320260436,0.00352519796111901
Streptococcus_u_s,0.08236933648131833,0.004679144144144142
Streptococcus sp. C150,0.10270372674877448,0.0010386770981507813
Veillonella_u_s,0.1126287884491138,0.0026963679468942603
Prevotella_u_s,0.1854747842284532,0.0026065552394499746
Streptococcus pneumoniae,0.18818220518278275,0.0018824039829302979
Lactobacillus gasseri,0.20203981970961862,0.0026300474158368957
Pseudomonas sp. W15Feb9B,0.21815899887260035,0.00698961356092935
Staphylococcus sp. MDS7B,0.2284313400333888,3.8460052157420545e-4
Pseudomonas_u_s,0.23878447055838237,-0.0032854421526789927
Lactococcus lactis,0.23995845136855543,0.0025801446183025102
Rothia mucilaginosa,0.2491508897523064,-0.003285892603129442
Staphylococcus_u_s,0.3120470434084791,-0.005615899715504964
Faecalibacterium prausnitzii,0.33855850861789205,-0.002266197249881459
Corynebacterium kroppenstedtii,0.3440166578096733,0.0022209909909909876
Ralstonia_u_s,0.44114901953085106,2.881934566145093e-4
Streptococcus peroris,0.5183968683970562,2.392105263157892e-4
Streptococcus salivarius,0.5701384355295454,4.881922712185864e-4
Brevundimonas sp. EAKA,0.5767056605228114,-1.819701280227595e-4
Neisseria_u_s,0.5824118394902595,5.627726410621149e-4
Staphylococcus aureus,0.6528715845864038,-0.0016403651019440489
Actinomyces graevenitzii,0.6566885548829886,4.29922949265054e-4
Bacteroides_u_s,0.711296898834006,-5.193883357041216e-4
Streptococcus sp. HSISS3,0.747967354752106,5.852904220009479e-4
Streptococcus parasanguinis,0.7650344774732177,-7.814485538169744e-5
Clostridiales_u_s,0.792885308529365,5.597060218112841e-4
Pseudomonas sp. 313,0.8156820142773715,-1.6615339023233735e-4
Propionibacterium sp. 5_U_42AFAA,0.8379764733738976,1.9880037932669487e-4
Streptococcus thermophilus,0.8506635821806559,5.387577050734922e-4
Cutibacterium acnes,0.9027506077309351,-3.4610953058321516e-4
Staphylococcus epidermidis,0.9376762829968195,-0.0013577086296823163
