Taxon,Prevalence
Acidaminococcus_u_s,1
Acidovorax_u_s,1
Acidovorax citrulli,1
Acinetobacter sp. 479375,1
Acinetobacter baumannii,1
Acinetobacter ursingii,1
Actinomyces graevenitzii,5
Actinomyces odontolyticus,2
Actinomyces sp. HPA0247,2
Actinomyces sp. ICM47,3
Afipia birgiae,1
Aggregatibacter sp. oral taxon 458,1
Agrobacterium sp. 33MFTa1.1,1
Agrobacterium tumefaciens,1
Akkermansia muciniphila,1
Alistipes_u_s,1
Alistipes onderdonkii,1
Alistipes putredinis,1
Alistipes sp. AL-1,1
Anoxybacillus flavithermus,1
Atopobium parvulum,2
Atopobium sp. ICM42b,2
Atopobium vaginae,1
Bacillus cereus,1
Bacteroidales_u_s,1
Bacteroides_u_s,10
Bacteroides finegoldii,1
Bacteroides sp. 4_1_36,1
Bacteroides stercoris,2
Bacteroides uniformis,1
Bacteroides vulgatus,1
Bifidobacterium adolescentis,1
Bifidobacterium kashiwanohense,1
Bifidobacterium longum,2
Bifidobacterium pseudocatenulatum,1
Bifidobacterium thermacidophilum,1
Bilophila_u_s,1
Bosea sp. UNC402CLCol,2
Bradyrhizobium japonicum,1
Brevundimonas_u_s,2
Brevundimonas diminuta,2
Brevundimonas nasdae,2
Brevundimonas sp. EAKA,3
Burkholderia cenocepacia,1
Burkholderia cepacia,1
Comamonadaceae_u_s,1
Burkholderiales_u_s,1
Campylobacter_u_s,2
Campylobacter concisus,1
Campylobacter showae,1
Capnocytophaga gingivalis,1
Capnocytophaga_u_s,1
Capnocytophaga sp. oral taxon 329,1
Capnocytophaga sputigena,1
Lachnospiraceae_u_s,3
Clostridiales_u_s,5
[Clostridium] clostridioforme,1
Collinsella aerofaciens,1
Collinsella sp. 4_8_47FAA,1
Corynebacterium accolens,1
Corynebacterium argentoratense,2
Corynebacterium jeikeium,1
Corynebacterium kroppenstedtii,13
Corynebacterium propinquum,1
Corynebacterium pseudodiphtheriticum,1
Corynebacterium pseudogenitalium,1
Corynebacterium sp. KPL1824,1
Corynebacterium tuberculostearicum,1
Corynebacterium ureicelerivorans,1
Corynebacterium vitaeruminis,1
Delftia acidovorans,1
Delftia sp. 670,1
Delftia tsuruhatensis,1
Dermacoccus_u_s,2
Dialister invisus,1
Dolosigranulum pigrum,1
Enhydrobacter aerosaccus,1
Enterobacter cloacae,1
Enterobacter cloacae complex,1
Enterobacter sp. ZOR0014,1
Enterococcus faecium,1
Escherichia coli,2
[Eubacterium] rectale,1
Faecalibacterium prausnitzii,12
Firmicutes bacterium JGI 0000112-M16,1
Firmicutes bacterium JGI 0000112-P22,1
Fusobacterium periodonticum,1
Gemella_u_s,3
Gemella haemolysans,1
Gemella sanguinis,1
Geobacillus thermoleovorans group,1
Geobacillus kaustophilus,1
Geobacillus sp. A8,1
Geobacillus stearothermophilus,1
Neisseriaceae_u_s,1
Gordonia bronchialis,1
Granulicatella_u_s,2
Granulicatella adiacens,1
Granulicatella elegans,2
Haemophilus_u_s,5
Haemophilus haemolyticus,1
Haemophilus influenzae,2
Haemophilus parahaemolyticus,1
Haemophilus parainfluenzae,6
Haemophilus paraphrohaemolyticus,1
Haemophilus pittmaniae,1
Haemophilus sp. oral taxon 851,1
Haemophilus sputorum,1
Kingella denitrificans,1
Klebsiella michiganensis,1
Klebsiella pneumoniae,1
Kocuria_u_s,1
Kocuria rhizophila,1
Lachnoanaerobaculum_u_s,1
Lachnoanaerobaculum sp. ICM7,1
Lactobacillus_u_s,1
Lactobacillus crispatus,2
Lactobacillus delbrueckii,1
Lactobacillus gasseri,5
Lactobacillus mucosae,1
Lactobacillus rhamnosus,1
Lactococcus lactis,9
Lautropia mirabilis,1
Leptotrichia shahii,1
Leptotrichia sp. oral taxon 215,1
Leptotrichia wadei,1
Leuconostoc_u_s,1
Megasphaera_u_s,1
Methylobacterium_u_s,2
Micrococcus luteus,1
Moraxella catarrhalis,2
Morococcus cerebrosus,1
Mycobacterium_u_s,1
Mycobacterium sp. UNC280MFTsu5.1,1
Negativicoccus succinicivorans,1
Neisseria_u_s,5
Neisseria cinerea,1
Neisseria elongata,1
Neisseria flavescens,4
Neisseria gonorrhoeae,1
Neisseria lactamica,1
Neisseria macacae,1
Neisseria meningitidis,1
Neisseria mucosa,7
Neisseria polysaccharea,1
Neisseria sicca,1
Neisseria sp. GT4A_CT1,1
Neisseria subflava,2
Oribacterium_u_s,1
Oribacterium sinus,1
Oscillibacter sp. KLE 1745,1
Paenibacillus pasadenensis,1
Paenibacillus sophorae,1
Pantoea_u_s,1
Pantoea agglomerans,1
Parabacteroides distasonis,1
