Sample,Observed
238_VT1303,4
349_VT1303,11
367_VT1303,9
412_VT1303,4
497_VT1303,10
524_VT1303,14
545_VT1303,14
687_VT1303,7
716_VT1303,3
743_VT1303,2
830_VT1303,1
862_VT1303,28
MN0871_VT1303,39
MN1246_VT1303,10
MN1286_VT1303,2
MN1367_VT1303,5
MN1544_VT1303,5
MN1595_VT1303,7
MN1676_VT1303,10
MN1794_VT1303,3
MN1933_VT1303,7
MN2077_VT1303,22
MN2132_VT1303,3
MN2239_VT1303,2
MN2279_VT1303,2
MN2308_VT1303,1
MN2336_VT1303,0
MN2356_VT1303,4
MN2504_VT1303,2
MN2544_VT1303,4
MN2572_VT1303,2
MN2598_VT1303,2
MN2619_VT1303,8
MN2695_VT1303,6
MN2735_VT1303,3
MN2777_VT1303,32
MN2806_VT1303,24
MN2892_VT1303,150
MN2932_VT1303,3
MN2992_VT1303,10
MN3054_VT1303,15
MN3109_VT1303,2
MN3207_VT1303,2
MN3287_VT1303,19
MN3430_VT1303,20
MN3505_VT1303,15
MN3664_VT1303,29
MN3713_VT1303,2
MN3836_VT1303,3
MN3876_VT1303,8
